,open,close,high,low,volume,money
2011-01-04,4964.21,5011.5,5012.06,4938.94,3699564400.0,54148801363.0
2011-01-05,4989.1,5028.77,5038.87,4964.87,3475221800.0,52016619203.0
2011-01-06,5026.33,5001.28,5047.26,4992.16,3123874300.0,45887129031.0
2011-01-07,4990.7,4975.14,5028.27,4945.78,3499623300.0,47227223346.0
2011-01-10,4966.56,4830.56,4970.42,4816.58,3113786200.0,43833176246.0
2011-01-11,4811.16,4804.82,4815.5,4747.49,2750608900.0,36680616842.0
2011-01-12,4813.48,4833.58,4846.95,4764.47,2691439800.0,33842368207.0
2011-01-13,4851.68,4826.76,4859.53,4810.9,2544377300.0,32453204942.0
2011-01-14,4816.66,4723.43,4816.66,4719.15,2781177400.0,36531767728.0
2011-01-17,4690.88,4519.91,4691.57,4507.57,3067751000.0,38540848688.0
2011-01-18,4502.06,4536.96,4550.29,4483.5,1944286600.0,24231409864.0
2011-01-19,4538.99,4646.09,4646.09,4530.61,2436093800.0,31999372872.0
2011-01-20,4637.77,4477.36,4637.77,4476.56,2865246300.0,36214797899.0
2011-01-21,4459.99,4506.32,4549.59,4445.23,2709504200.0,33386899654.0
2011-01-24,4506.61,4398.49,4521.13,4397.02,2522068200.0,32074479982.0
2011-01-25,4390.16,4341.91,4392.22,4307.91,2133616900.0,26649035293.0
2011-01-26,4339.86,4424.89,4426.25,4339.86,1974312400.0,25235239648.0
2011-01-27,4397.93,4502.81,4514.43,4369.87,2796481700.0,35608939750.0
2011-01-28,4497.83,4548.21,4559.36,4493.84,2581766500.0,33231246887.0
2011-01-31,4544.33,4610.86,4611.0,4536.19,2640632200.0,34065114763.0
2011-02-01,4612.4,4630.58,4638.61,4604.91,2394669500.0,31851848756.0
2011-02-09,4597.54,4609.72,4654.59,4584.9,2754208500.0,35874081337.0
2011-02-10,4604.84,4733.97,4734.06,4602.33,3457825000.0,43583054975.0
2011-02-11,4736.27,4786.81,4803.1,4729.39,3991598300.0,51826099577.0
2011-02-14,4792.85,4872.49,4884.99,4792.85,4781513300.0,62502918176.0
2011-02-15,4878.68,4869.69,4932.33,4862.77,5155704100.0,68054571951.0
2011-02-16,4860.89,4952.67,4952.95,4855.95,4467136700.0,61015681747.0
2011-02-17,4962.13,4987.48,4990.75,4917.95,5044532700.0,68506795975.0
2011-02-18,4977.22,4941.43,4984.18,4915.67,4290671900.0,58436567945.0
2011-02-21,4911.81,5042.97,5043.25,4905.36,4737022000.0,64040480732.0
2011-02-22,5052.36,4909.74,5058.75,4908.25,5738196100.0,79490295533.0
2011-02-23,4891.24,4979.06,4983.23,4891.24,4483006400.0,61614316534.0
2011-02-24,4976.34,5027.73,5033.1,4963.76,5009068500.0,65190945277.0
2011-02-25,5019.5,5032.8,5039.79,4964.35,4445545000.0,57641320377.0
2011-02-28,5040.22,5095.21,5095.57,5007.65,5124278700.0,66627729267.0
2011-03-01,5099.7,5122.44,5143.77,5082.04,5779841800.0,77456783066.0
2011-03-02,5099.48,5108.74,5120.41,5024.86,5314279000.0,70893197822.0
2011-03-03,5106.39,5009.05,5124.61,5000.54,5171038900.0,67453574372.0
2011-03-04,5005.56,5067.62,5067.92,4989.65,4255960400.0,54570107259.0
2011-03-07,5085.45,5138.25,5138.65,5085.45,5747858800.0,77165909073.0
2011-03-08,5135.35,5165.73,5166.36,5113.09,5314008100.0,71456158892.0
2011-03-09,5168.13,5181.37,5186.03,5147.87,5114619700.0,69096749209.0
2011-03-10,5174.03,5143.41,5174.03,5139.78,5231988600.0,72055747928.0
2011-03-11,5118.07,5139.75,5200.7,5113.48,5171933500.0,70886655549.0
2011-03-14,5127.14,5190.04,5190.73,5111.01,5341013300.0,75553123090.0
2011-03-15,5178.09,5131.33,5178.09,5016.88,6333606400.0,85317312273.0
2011-03-16,5122.27,5199.36,5200.06,5119.19,5556131900.0,75781512600.0
2011-03-17,5151.64,5104.13,5185.41,5080.53,5674077700.0,74999674473.0
2011-03-18,5133.77,5126.93,5160.8,5105.06,4267683300.0,57094408873.0
2011-03-21,5120.67,5086.11,5130.93,5062.79,4191967500.0,55093792660.0
2011-03-22,5093.41,5085.81,5102.43,5020.76,3910699900.0,53595286191.0
2011-03-23,5084.77,5155.34,5155.59,5076.72,4637356000.0,60690171878.0
2011-03-24,5159.2,5169.26,5185.5,5149.66,4899669200.0,63827670882.0
2011-03-25,5164.82,5212.35,5218.06,5164.78,5857739700.0,75047768896.0
2011-03-28,5223.07,5199.55,5231.73,5187.45,6912303000.0,89292333979.0
2011-03-29,5185.68,5111.15,5191.54,5105.03,7033332700.0,87274614443.0
2011-03-30,5101.11,5064.55,5117.22,5036.29,5362860200.0,66256112915.0
2011-03-31,5065.12,5000.4,5079.23,4985.02,4579340300.0,56200997747.0
2011-04-01,4999.76,5065.08,5065.08,4991.79,3911730200.0,48618443215.0
2011-04-06,5046.9,5057.84,5070.34,5019.49,4571476100.0,58417048983.0
2011-04-07,5056.09,5089.75,5090.02,5045.19,4496888600.0,57683810293.0
2011-04-08,5087.31,5148.8,5149.05,5079.65,4537160400.0,58374692881.0
2011-04-11,5157.07,5107.14,5162.49,5102.71,5261755000.0,66933358490.0
2011-04-12,5096.57,5114.46,5139.03,5083.39,5271436500.0,63128234949.0
2011-04-13,5098.64,5165.21,5165.49,5069.39,4887132900.0,58014657947.0
2011-04-14,5162.31,5150.87,5175.24,5140.0,4891311900.0,59275613529.0
2011-04-15,5143.3,5162.41,5162.41,5103.09,5279411200.0,63287015102.0
2011-04-18,5149.34,5178.89,5179.45,5140.41,5646023100.0,69014028734.0
2011-04-19,5149.66,5116.14,5153.56,5095.6,6401797400.0,77177175059.0
2011-04-20,5116.11,5152.4,5154.74,5116.11,5087671500.0,63372008210.0
2011-04-21,5169.62,5188.11,5191.01,5159.96,5383070700.0,67225993144.0
2011-04-22,5187.76,5165.12,5193.21,5150.42,5498767000.0,65818514589.0
2011-04-25,5152.07,5054.77,5152.07,5054.77,5011404400.0,60598396125.0
