,open,close,high,low,volume
2011/1/4 00:00:00.005,4964.21,5011.5,5012.06,4938.94,3699564400
2011/1/5 00:00:00.005,4989.1,5028.77,5038.87,4964.87,3475221800
2011/1/6 00:00:00.005,5026.33,5001.28,5047.26,4992.16,3123874300
2011/1/7 00:00:00.005,4990.7,4975.14,5028.27,4945.78,3499623300
2011/1/10 00:00:00.005,4966.56,4830.56,4970.42,4816.58,3113786200
2011/1/11 00:00:00.005,4811.16,4804.82,4815.5,4747.49,2750608900
2011/1/12 00:00:00.005,4813.48,4833.58,4846.95,4764.47,2691439800
2011/1/13 00:00:00.005,4851.68,4826.76,4859.53,4810.9,2544377300
2011/1/14 00:00:00.005,4816.66,4723.43,4816.66,4719.15,2781177400
2011/1/17 00:00:00.005,4690.88,4519.91,4691.57,4507.57,3067751000
2011/1/18 00:00:00.005,4502.06,4536.96,4550.29,4483.5,1944286600
2011/1/19 00:00:00.005,4538.99,4646.09,4646.09,4530.61,2436093800
2011/1/20 00:00:00.005,4637.77,4477.36,4637.77,4476.56,2865246300
2011/1/21 00:00:00.005,4459.99,4506.32,4549.59,4445.23,2709504200
2011/1/24 00:00:00.005,4506.61,4398.49,4521.13,4397.02,2522068200
2011/1/25 00:00:00.005,4390.16,4341.91,4392.22,4307.91,2133616900
2011/1/26 00:00:00.005,4339.86,4424.89,4426.25,4339.86,1974312400
2011/1/27 00:00:00.005,4397.93,4502.81,4514.43,4369.87,2796481700
2011/1/28 00:00:00.005,4497.83,4548.21,4559.36,4493.84,2581766500
2011/1/31 00:00:00.005,4544.33,4610.86,4611,4536.19,2640632200
2011/2/1 00:00:00.005,4612.4,4630.58,4638.61,4604.91,2394669500
2011/2/9 00:00:00.005,4597.54,4609.72,4654.59,4584.9,2754208500
2011/2/10 00:00:00.005,4604.84,4733.97,4734.06,4602.33,3457825000
2011/2/11 00:00:00.005,4736.27,4786.81,4803.1,4729.39,3991598300
2011/2/14 00:00:00.005,4792.85,4872.49,4884.99,4792.85,4781513300
2011/2/15 00:00:00.005,4878.68,4869.69,4932.33,4862.77,5155704100
2011/2/16 00:00:00.005,4860.89,4952.67,4952.95,4855.95,4467136700
2011/2/17 00:00:00.005,4962.13,4987.48,4990.75,4917.95,5044532700
2011/2/18 00:00:00.005,4977.22,4941.43,4984.18,4915.67,4290671900
2011/2/21 00:00:00.005,4911.81,5042.97,5043.25,4905.36,4737022000
2011/2/22 00:00:00.005,5052.36,4909.74,5058.75,4908.25,5738196100
2011/2/23 00:00:00.005,4891.24,4979.06,4983.23,4891.24,4483006400
2011/2/24 00:00:00.005,4976.34,5027.73,5033.1,4963.76,5009068500
2011/2/25 00:00:00.005,5019.5,5032.8,5039.79,4964.35,4445545000
2011/2/28 00:00:00.005,5040.22,5095.21,5095.57,5007.65,5124278700
2011/3/1 00:00:00.005,5099.7,5122.44,5143.77,5082.04,5779841800
2011/3/2 00:00:00.005,5099.48,5108.74,5120.41,5024.86,5314279000
2011/3/3 00:00:00.005,5106.39,5009.05,5124.61,5000.54,5171038900
2011/3/4 00:00:00.005,5005.56,5067.62,5067.92,4989.65,4255960400
2011/3/7 00:00:00.005,5085.45,5138.25,5138.65,5085.45,5747858800
2011/3/8 00:00:00.005,5135.35,5165.73,5166.36,5113.09,5314008100
2011/3/9 00:00:00.005,5168.13,5181.37,5186.03,5147.87,5114619700
2011/3/10 00:00:00.005,5174.03,5143.41,5174.03,5139.78,5231988600
2011/3/11 00:00:00.005,5118.07,5139.75,5200.7,5113.48,5171933500
2011/3/14 00:00:00.005,5127.14,5190.04,5190.73,5111.01,5341013300
2011/3/15 00:00:00.005,5178.09,5131.33,5178.09,5016.88,6333606400
2011/3/16 00:00:00.005,5122.27,5199.36,5200.06,5119.19,5556131900
2011/3/17 00:00:00.005,5151.64,5104.13,5185.41,5080.53,5674077700
2011/3/18 00:00:00.005,5133.77,5126.93,5160.8,5105.06,4267683300
2011/3/21 00:00:00.005,5120.67,5086.11,5130.93,5062.79,4191967500
2011/3/22 00:00:00.005,5093.41,5085.81,5102.43,5020.76,3910699900
2011/3/23 00:00:00.005,5084.77,5155.34,5155.59,5076.72,4637356000
2011/3/24 00:00:00.005,5159.2,5169.26,5185.5,5149.66,4899669200
2011/3/25 00:00:00.005,5164.82,5212.35,5218.06,5164.78,5857739700
2011/3/28 00:00:00.005,5223.07,5199.55,5231.73,5187.45,6912303000
2011/3/29 00:00:00.005,5185.68,5111.15,5191.54,5105.03,7033332700
2011/3/30 00:00:00.005,5101.11,5064.55,5117.22,5036.29,5362860200
2011/3/31 00:00:00.005,5065.12,5000.4,5079.23,4985.02,4579340300
2011/4/1 00:00:00.005,4999.76,5065.08,5065.08,4991.79,3911730200
2011/4/6 00:00:00.005,5046.9,5057.84,5070.34,5019.49,4571476100
2011/4/7 00:00:00.005,5056.09,5089.75,5090.02,5045.19,4496888600
2011/4/8 00:00:00.005,5087.31,5148.8,5149.05,5079.65,4537160400
2011/4/11 00:00:00.005,5157.07,5107.14,5162.49,5102.71,5261755000
2011/4/12 00:00:00.005,5096.57,5114.46,5139.03,5083.39,5271436500
2011/4/13 00:00:00.005,5098.64,5165.21,5165.49,5069.39,4887132900
2011/4/14 00:00:00.005,5162.31,5150.87,5175.24,5140,4891311900
2011/4/15 00:00:00.005,5143.3,5162.41,5162.41,5103.09,5279411200
2011/4/18 00:00:00.005,5149.34,5178.89,5179.45,5140.41,5646023100
2011/4/19 00:00:00.005,5149.66,5116.14,5153.56,5095.6,6401797400
2011/4/20 00:00:00.005,5116.11,5152.4,5154.74,5116.11,5087671500
2011/4/21 00:00:00.005,5169.62,5188.11,5191.01,5159.96,5383070700
2011/4/22 00:00:00.005,5187.76,5165.12,5193.21,5150.42,5498767000
2011/4/25 00:00:00.005,5152.07,5054.77,5152.07,5054.77,5011404400
2011/4/26 00:00:00.005,5033.79,4970.57,5047.34,4943.06,3925771800
2011/4/27 00:00:00.005,4977.95,4913.5,5003.86,4872.51,4112825800
2011/4/28 00:00:00.005,4920.94,4755.42,4937.11,4752.41,4077560200
2011/4/29 00:00:00.005,4749.53,4836.87,4837,4738.45,3011031000
2011/5/3 00:00:00.005,4836.86,4920.57,4920.71,4816.02,3546053500
2011/5/4 00:00:00.005,4900.44,4814.78,4900.44,4798.41,4062791500
2011/5/5 00:00:00.005,4792.13,4827.21,4842.37,4784.7,3470003100
2011/5/6 00:00:00.005,4787.52,4849.97,4874.98,4764.84,3690577100
2011/5/9 00:00:00.005,4855.84,4889.92,4897.76,4855.84,3456250800
2011/5/10 00:00:00.005,4893.95,4918.67,4918.87,4871.45,3522454500
2011/5/11 00:00:00.005,4919.24,4929.49,4949.02,4880.31,4237492400
2011/5/12 00:00:00.005,4896.34,4863.8,4940.82,4863.12,4735557300
2011/5/13 00:00:00.005,4860.03,4902.56,4903.11,4817.83,4246408300
2011/5/16 00:00:00.005,4900,4900.71,4931.13,4892.24,4099534300
2011/5/17 00:00:00.005,4892.29,4873.95,4912.71,4823.06,4686059500
2011/5/18 00:00:00.005,4859.32,4906.19,4907.75,4850.45,3608075100
2011/5/19 00:00:00.005,4912.81,4879.89,4929.21,4875.8,3468265600
2011/5/20 00:00:00.005,4875.08,4863.19,4886.59,4837.98,3021996400
2011/5/23 00:00:00.005,4853.9,4679.53,4853.92,4677.45,4285262200
2011/5/24 00:00:00.005,4656.01,4672.08,4676.84,4590.13,3287198100
2011/5/25 00:00:00.005,4667.64,4618.75,4689.69,4613.68,3418169200
2011/5/26 00:00:00.005,4635.95,4572.94,4662.29,4572.32,3570183800
2011/5/27 00:00:00.005,4561.77,4428.89,4567.23,4425.76,3390238600
2011/5/30 00:00:00.005,4403,4345.05,4427,4339.08,2659257500
2011/5/31 00:00:00.005,4347.99,4444.28,4444.59,4339.63,2647238400
2011/6/1 00:00:00.005,4439.39,4490.89,4494,4424.2,2746729400
2011/6/2 00:00:00.005,4434.86,4430,4452.53,4363.9,3038598800
2011/6/3 00:00:00.005,4425.49,4506.2,4514.31,4424.2,2671969100
2011/6/7 00:00:00.005,4496.96,4547.3,4548.22,4490.62,2535242700
2011/6/8 00:00:00.005,4542.7,4562.97,4568.29,4486.65,2969370400
2011/6/9 00:00:00.005,4552.07,4456.73,4553.71,4456.59,3012745200
2011/6/10 00:00:00.005,4442.51,4469.05,4469.58,4383.2,2716272700
2011/6/13 00:00:00.005,4439.87,4468.79,4475.69,4408.06,2290297400
2011/6/14 00:00:00.005,4466.99,4540.94,4546.73,4461.53,2995558500
2011/6/15 00:00:00.005,4531.36,4499.69,4562.04,4498.78,2954781100
2011/6/16 00:00:00.005,4461.26,4402.14,4466.78,4396.21,2790606900
2011/6/17 00:00:00.005,4392.98,4337.37,4415.16,4332.49,2282689700
2011/6/20 00:00:00.005,4325.6,4278.75,4333.57,4251.11,2158850500
2011/6/21 00:00:00.005,4286.36,4338.42,4338.85,4269.92,2444865700
2011/6/22 00:00:00.005,4341.36,4321.22,4350.92,4300.64,2228087900
2011/6/23 00:00:00.005,4307.81,4402.94,4411.86,4276.73,2927737600
2011/6/24 00:00:00.005,4390.09,4509.18,4533.7,4381.8,4592928400
2011/6/27 00:00:00.005,4511.76,4568.19,4578.32,4510.72,3916460400
2011/6/28 00:00:00.005,4569.76,4574.48,4582.62,4529.18,3231001100
2011/6/29 00:00:00.005,4570.84,4511.55,4583.49,4511.28,3396370200
2011/6/30 00:00:00.005,4506.75,4579.33,4585.26,4506.74,3273795000
2011/7/1 00:00:00.005,4589.18,4604.75,4635.25,4582.33,3882020200
2011/7/4 00:00:00.005,4617.95,4719.39,4719.57,4617.95,5031479400
2011/7/5 00:00:00.005,4722.33,4749.42,4758.07,4711.17,4606850900
2011/7/6 00:00:00.005,4742.17,4760.92,4763.24,4705.39,4330434000
2011/7/7 00:00:00.005,4757.07,4761.45,4813.34,4742.37,4850315800
2011/7/8 00:00:00.005,4755.75,4756.61,4769.55,4720.23,3641059700
2011/7/11 00:00:00.005,4741.98,4799.42,4802.44,4728.49,3725219400
2011/7/12 00:00:00.005,4762.09,4731.12,4771.59,4727.67,4142080400
2011/7/13 00:00:00.005,4729.2,4825.42,4825.5,4729.2,4023526700
2011/7/14 00:00:00.005,4833.75,4866.16,4866.24,4813.49,4613078200
2011/7/15 00:00:00.005,4853.76,4896.04,4896.1,4842.78,4781930400
2011/7/18 00:00:00.005,4902.22,4895.26,4919.14,4876.48,4843666600
2011/7/19 00:00:00.005,4871.68,4843.7,4871.93,4822.45,4150607400
2011/7/20 00:00:00.005,4864.28,4849.06,4881.46,4801.61,3945111400
2011/7/21 00:00:00.005,4846.34,4784.39,4850.55,4782.4,3879897100
2011/7/22 00:00:00.005,4791.45,4800.94,4822.81,4781.41,3316057700
2011/7/25 00:00:00.005,4784.97,4613.73,4784.97,4597.74,4350413100
2011/7/26 00:00:00.005,4604.99,4633.37,4634.31,4576.93,2841260600
2011/7/27 00:00:00.005,4621.5,4710.38,4716.3,4596.43,3221238600
2011/7/28 00:00:00.005,4670.92,4680.9,4685.45,4633.67,3191405100
2011/7/29 00:00:00.005,4678.78,4628.32,4694.06,4611.9,2939857100
2011/8/1 00:00:00.005,4622.7,4644.46,4665.18,4607.56,2498278200
2011/8/2 00:00:00.005,4627.38,4610.78,4627.38,4539.43,3058629000
2011/8/3 00:00:00.005,4565.76,4625.17,4638.64,4551.48,2743907700
2011/8/4 00:00:00.005,4631.42,4649.43,4670.99,4631.28,2591344100
2011/8/5 00:00:00.005,4504.08,4559.02,4589.08,4472.61,3073141000
2011/8/8 00:00:00.005,4494.38,4330.77,4514.62,4242.87,4171750400
2011/8/9 00:00:00.005,4199.13,4317.11,4347.31,4113.01,3800449800
2011/8/10 00:00:00.005,4389.15,4378.7,4433.09,4372.64,3826854400
2011/8/11 00:00:00.005,4283.24,4454.39,4454.48,4270.62,3754621800
2011/8/12 00:00:00.005,4483.85,4505.89,4526.5,4480.12,4038279500
2011/8/15 00:00:00.005,4514.65,4571.72,4571.72,4509.63,3616918500
2011/8/16 00:00:00.005,4578.35,4533.32,4587.14,4520.94,3480351600
2011/8/17 00:00:00.005,4520.69,4513.48,4543.88,4499.16,2810194100
2011/8/18 00:00:00.005,4510.14,4436.1,4516.04,4434.99,2952560800
2011/8/19 00:00:00.005,4341.19,4395.02,4395.6,4325.04,2742939200
2011/8/22 00:00:00.005,4395.03,4363.96,4435.3,4348.67,2447683300
2011/8/23 00:00:00.005,4376.26,4434.92,4435.21,4365.84,2559515300
2011/8/24 00:00:00.005,4453.43,4427.98,4474.1,4420.29,2778394700
2011/8/25 00:00:00.005,4432.4,4520.17,4520.17,4421.6,3411412100
2011/8/26 00:00:00.005,4506.09,4530.42,4541.47,4496.18,3070925300
2011/8/29 00:00:00.005,4509.89,4490.16,4512.65,4481.29,3022034300
2011/8/30 00:00:00.005,4511.25,4451.73,4541.56,4450.73,3137815200
2011/8/31 00:00:00.005,4449.68,4430.54,4468.14,4386.63,2442128400
2011/9/1 00:00:00.005,4435.33,4395.07,4457.05,4379.1,2280109400
2011/9/2 00:00:00.005,4387.3,4344.98,4399.85,4317.64,2096877100
2011/9/5 00:00:00.005,4305.44,4238.07,4305.44,4237.44,2101343100
2011/9/6 00:00:00.005,4205.09,4204.91,4238.29,4185.8,1728596000
2011/9/7 00:00:00.005,4221.99,4306.36,4306.46,4219.85,2348642800
2011/9/8 00:00:00.005,4320.53,4260.15,4328.2,4260.14,2232336600
2011/9/9 00:00:00.005,4256.48,4233.75,4295.1,4216.42,1818235900
2011/9/13 00:00:00.005,4176.3,4164.29,4176.88,4136.97,1806230700
2011/9/14 00:00:00.005,4176.04,4212.13,4212.29,4111.12,1900626900
2011/9/15 00:00:00.005,4215.37,4215.5,4249.54,4206.88,2038122400
2011/9/16 00:00:00.005,4229,4214.82,4249.18,4212.29,1765427800
2011/9/19 00:00:00.005,4200.48,4131.89,4200.48,4131.31,1779025100
2011/9/20 00:00:00.005,4121.03,4151.85,4168.24,4101.7,1771203300
2011/9/21 00:00:00.005,4150.82,4275.09,4279.12,4140.34,3021211600
2011/9/22 00:00:00.005,4241.42,4151.8,4258.61,4151.12,2749161300
2011/9/23 00:00:00.005,4079.06,4117.73,4134.22,4061.83,2324573600
2011/9/26 00:00:00.005,4102.61,4051.43,4138.35,4039.55,1974480200
2011/9/27 00:00:00.005,4077.23,4068.23,4098.02,4027.71,1927412700
2011/9/28 00:00:00.005,4088.78,3999.78,4099.34,3987.27,2029203000
2011/9/29 00:00:00.005,3977.14,3871.06,3977.14,3868.94,2206161700
2011/9/30 00:00:00.005,3875.02,3856.83,3892.38,3818.25,1675697400
2011/10/10 00:00:00.005,3866.86,3832.58,3882.78,3822.28,1375316900
2011/10/11 00:00:00.005,3919.44,3817.93,3942.05,3778.52,2001915600
2011/10/12 00:00:00.005,3803.96,3950.66,3953.14,3768.11,2700203000
2011/10/13 00:00:00.005,3943.16,4001.85,4009.78,3929.83,2875287900
2011/10/14 00:00:00.005,3994.73,3985.19,4004.93,3948.44,2210043600
2011/10/17 00:00:00.005,3993.75,3997.12,4024.24,3974.38,2181506500
2011/10/18 00:00:00.005,3974.46,3877.02,3974.89,3873.37,2445386900
2011/10/19 00:00:00.005,3882.02,3854.17,3898.81,3837.24,1970181500
2011/10/20 00:00:00.005,3841.26,3740.47,3841.26,3710.95,2260114400
2011/10/21 00:00:00.005,3733.7,3671.7,3743.34,3669.69,1721008400
2011/10/24 00:00:00.005,3675.72,3736.76,3736.76,3605.94,2302872200
2011/10/25 00:00:00.005,3735.63,3842.98,3850.08,3726.25,3263863700
2011/10/26 00:00:00.005,3818.24,3884.39,3921.25,3808.3,3889021400
2011/10/27 00:00:00.005,3890.26,3888.99,3927.44,3872.9,3301147900
2011/10/28 00:00:00.005,3932.85,3978.8,3978.8,3918.36,4318106800
2011/10/31 00:00:00.005,3975.07,3999.36,4004.39,3963.27,3618261600
2011/11/1 00:00:00.005,3963.37,3999.83,4020.46,3950.74,3391698500
